from_city,to_city,start_lat,start_lng,end_lat,end_lng,mode,cost,time,distance,route_id,intermediate_stops,carbon_emissions,line_color,line_thickness,normalized_cost,normalized_time,normalized_distance
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,flight,252,7990,878.0,16,0,105.36,green,2.52,0.504,0.18497939528638238,0.47115895443495803
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,road,153,15813,487.15,17,1,121.7875,gray,1.53,0.306,0.3660925128490068,0.2614180918598973
New York,Philadelphia,40.6943,-73.9249,40.0077,-75.1339,rail,43,12115,162.8,18,5,8.14,blue,0.42999999999999994,0.086,0.28047877019956474,0.08736295874944325
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,flight,201,16802,1341.54,19,0,160.98479999999998,green,2.0100000000000002,0.402,0.3889892114645553,0.719907270766143
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,road,152,35605,524.44,20,1,131.11,gray,1.52,0.304,0.8243043015233598,0.2814289317356144
New York,Atlanta,40.6943,-73.9249,33.7628,-84.422,rail,81,23365,850.66,21,3,42.533,blue,0.81,0.162,0.5409316108718804,0.45648755829116333
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,flight,301,26545,1523.6,22,0,182.832,green,3.01,0.602,0.6145529471685882,0.8176056753725536
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,road,148,30563,877.38,23,3,219.345,gray,1.48,0.296,0.7075751261749317,0.47082624537829554
New York,Washington,40.6943,-73.9249,38.9047,-77.0163,rail,47,21167,395.19,24,1,19.759500000000003,blue,0.47,0.094,0.4900449136454137,0.21206982597169827
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,flight,268,23785,1700.69,25,0,204.0828,green,2.68,0.536,0.5506551835903135,0.9126370412505568
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,road,193,36737,718.93,26,3,179.7325,gray,1.9300000000000002,0.386,0.8505116451358985,0.3857976163005972
New York,Boston,40.6943,-73.9249,42.3188,-71.0852,rail,80,18439,1106.66,27,2,55.333000000000006,blue,0.8,0.16,0.4268879937028291,0.5938642010421307
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,flight,172,31029,1777.12,28,0,213.25439999999998,green,1.7199999999999998,0.344,0.7183636616196694,0.9536514818968709
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,road,51,17106,228.04,29,4,57.01,gray,0.51,0.102,0.3960272260036116,0.12237253755051006
New York,Phoenix,40.6943,-73.9249,33.5722,-112.0892,rail,45,11410,1106.04,30,2,55.302,blue,0.44999999999999996,0.09,0.2641570588507663,0.5935314919854681
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,flight,205,20180,1534.79,31,0,184.17479999999998,green,2.05,0.41,0.4671945177570959,0.823610537217801
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,road,78,42016,157.83,32,2,39.4575,gray,0.78,0.156,0.9727276936611566,0.0846959200210358
New York,Detroit,40.6943,-73.9249,42.3834,-83.1024,rail,31,18167,1038.31,33,3,51.9155,blue,0.31,0.062,0.4205908227994629,0.5571857106826438
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,flight,111,16516,1392.49,34,0,167.09879999999998,green,1.11,0.222,0.38236792147057463,0.7472484424386501
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,road,140,15241,383.39,35,5,95.8475,gray,1.4000000000000001,0.28,0.3528499328610455,0.20573762134489587
New York,Seattle,40.6943,-73.9249,47.6211,-122.3244,rail,98,27454,768.01,36,3,38.4005,blue,0.98,0.196,0.6355975366949114,0.4121352945280093
New York,San Francisco,40.6943,-73.9249,37.7558,-122.4449,flight,123,15816,313.17,37,0,37.5804,green,1.23,0.246,0.36616196693985276,0.16805563754031416
New York,San Francisco,40.6943,-73.9249,37.7558,-122.4449,road,172,23628,299.5,38,3,74.875,gray,1.7199999999999998,0.344,0.5470204195027087,0.16071993946841678
New York,San Francisco,40.6943,-73.9249,37.7558,-122.4449,rail,45,15396,771.74,39,1,38.587,blue,0.44999999999999996,0.09,0.35643839422141965,0.41413691514309176
New York,San Diego,40.6943,-73.9249,32.8313,-117.1222,flight,249,10261,661.14,40,0,79.3368,green,2.49,0.498,0.23755614205676714,0.3547859124545879
New York,San Diego,40.6943,-73.9249,32.8313,-117.1222,road,68,16941,180.82,41,2,45.205,gray,0.68,0.136,0.3922072510070843,0.09703298649308555
New York,San Diego,40.6943,-73.9249,32.8313,-117.1222,rail,60,12135,850.04,42,5,42.502,blue,0.6,0.12,0.2809417974718711,0.45615484923450084
New York,Minneapolis,40.6943,-73.9249,44.9635,-93.2678,flight,210,32777,1575.8,43,0,189.09599999999998,green,2.1,0.42,0.7588322452192434,0.845617631433493
New York,Minneapolis,40.6943,-73.9249,44.9635,-93.2678,road,104,38559,719.55,44,5,179.8875,gray,1.04,0.208,0.892693429643006,0.3861303253572597
New York,Minneapolis,40.6943,-73.9249,44.9635,-93.2678,rail,61,27525,355.42,45,3,17.771,blue,0.61,0.122,0.6372412835115988,0.1907281498693312
New York,Tampa,40.6943,-73.9249,27.9945,-82.4447,flight,118,17856,1421.08,46,0,170.5296,green,1.18,0.236,0.41339074871509934,0.7625906229708772
New York,Tampa,40.6943,-73.9249,27.9945,-82.4447,road,114,18180,120.55,47,5,30.1375,gray,1.1400000000000001,0.228,0.42089179052646203,0.06469044642042619
New York,Tampa,40.6943,-73.9249,27.9945,-82.4447,rail,66,23256,53.44,48,2,2.672,blue,0.66,0.132,0.5384081122378108,0.028677374174264417
New York,Brooklyn,40.6943,-73.9249,40.6501,-73.9496,flight,131,8202,1208.57,49,0,145.02839999999998,green,1.31,0.262,0.18988748437282957,0.6485519106622519
New York,Brooklyn,40.6943,-73.9249,40.6501,-73.9496,road,195,31225,285.83,50,5,71.4575,gray,1.9500000000000002,0.39,0.7229013288882715,0.15338424139651943
New York,Brooklyn,40.6943,-73.9249,40.6501,-73.9496,rail,57,24561,1094.86,51,2,54.742999999999995,blue,0.5700000000000001,0.114,0.5686206417557994,0.5875319964153282
New York,Denver,40.6943,-73.9249,39.762,-104.8758,flight,203,16622,645.6,52,0,77.472,green,2.0300000000000002,0.406,0.3848219660137982,0.3464467209375956
New York,Denver,40.6943,-73.9249,39.762,-104.8758,road,181,26998,729.49,53,5,182.3725,gray,1.81,0.362,0.6250405148863268,0.3914644028140747
New York,Denver,40.6943,-73.9249,39.762,-104.8758,rail,69,21266,648.71,54,3,32.435500000000005,blue,0.6900000000000001,0.138,0.4923368986433301,0.34811563249601557
New York,Queens,40.6943,-73.9249,40.7498,-73.7976,flight,227,13432,1166.93,55,0,140.0316,green,2.27,0.454,0.3109691160809372,0.62620674111479
New York,Queens,40.6943,-73.9249,40.7498,-73.7976,road,177,24208,549.91,56,1,137.4775,gray,1.77,0.354,0.5604482103995926,0.2950968344343141
New York,Queens,40.6943,-73.9249,40.7498,-73.7976,rail,87,15372,693.45,57,5,34.67250000000001,blue,0.8699999999999999,0.174,0.35588276149465203,0.37212434732679006
New York,Riverside,40.6943,-73.9249,33.9381,-117.3949,flight,118,7822,1149.54,58,0,137.9448,green,1.18,0.236,0.18108996619900913,0.6168747887029177
New York,Riverside,40.6943,-73.9249,33.9381,-117.3949,road,61,27155,929.57,59,5,232.3925,gray,0.61,0.122,0.6286752789739316,0.4988328351641276
New York,Riverside,40.6943,-73.9249,33.9381,-117.3949,rail,94,24144,498.96,60,1,24.948,blue,0.94,0.188,0.5589665231282123,0.2677556627618071
New York,Las Vegas,40.6943,-73.9249,36.2333,-115.2654,flight,110,17826,364.74,61,0,43.7688,green,1.1,0.22,0.4126962078066398,0.19572951826948362
New York,Las Vegas,40.6943,-73.9249,36.2333,-115.2654,road,151,43022,610.81,62,4,152.7025,gray,1.51,0.302,0.9960179654581655,0.3277774498387434
New York,Las Vegas,40.6943,-73.9249,36.2333,-115.2654,rail,98,13848,761.18,63,2,38.059,blue,0.98,0.196,0.320600083344909,0.4084701286296143
New York,Baltimore,40.6943,-73.9249,39.3051,-76.6144,flight,101,11894,1480.11,64,0,177.61319999999998,green,1.01,0.202,0.2753623188405797,0.7942677449302116
New York,Baltimore,40.6943,-73.9249,39.3051,-76.6144,road,109,35236,274.02,65,2,68.505,gray,1.09,0.218,0.8157614483493077,0.14704667049460957
New York,Baltimore,40.6943,-73.9249,39.3051,-76.6144,rail,98,17552,999.79,66,2,49.9895,blue,0.98,0.196,0.40635273417604295,0.5365148189687092
New York,St. Louis,40.6943,-73.9249,38.6359,-90.2451,flight,278,15345,387.74,67,0,46.5288,green,2.7800000000000002,0.556,0.3552576746770385,0.20807195101664083
New York,St. Louis,40.6943,-73.9249,38.6359,-90.2451,road,128,28538,442.42,68,4,110.605,gray,1.28,0.256,0.6606936148539149,0.23741474330423024
New York,St. Louis,40.6943,-73.9249,38.6359,-90.2451,rail,73,27482,1220.37,69,4,61.018499999999996,blue,0.73,0.146,0.6362457748761402,0.6548841152890543
New York,Portland,40.6943,-73.9249,45.5371,-122.65,flight,270,7252,689.1,70,0,82.692,green,2.7,0.54,0.16789368893827847,0.3697900176550451
New York,Portland,40.6943,-73.9249,45.5371,-122.65,road,194,20803,810.89,71,3,202.7225,gray,1.94,0.388,0.48161781728943837,0.4351458821887963
New York,Portland,40.6943,-73.9249,45.5371,-122.65,rail,52,11259,183.93,72,2,9.1965,blue,0.52,0.104,0.26066120294485345,0.09870189805150552
New York,San Antonio,40.6943,-73.9249,29.4632,-98.5238,flight,181,14326,413.21,73,0,49.58519999999999,green,1.81,0.362,0.3316664351530305,0.22173985371534055
New York,San Antonio,40.6943,-73.9249,29.4632,-98.5238,road,83,41941,67.73,74,3,16.9325,gray,0.8300000000000001,0.166,0.9709913413900079,0.03634578130282427
New York,San Antonio,40.6943,-73.9249,29.4632,-98.5238,rail,96,12256,349.83,75,2,17.4915,blue,0.96,0.192,0.28374311246932443,0.18772840208426125
New York,Sacramento,40.6943,-73.9249,38.5677,-121.4685,flight,288,16912,646.85,76,0,77.622,green,2.88,0.576,0.3915358614622401,0.34711750532602803
New York,Sacramento,40.6943,-73.9249,38.5677,-121.4685,road,153,32277,190.14,77,4,47.535,gray,1.53,0.306,0.747256563411585,0.10203435489323795
New York,Sacramento,40.6943,-73.9249,38.5677,-121.4685,rail,83,26646,449.25,78,5,22.462500000000002,blue,0.8300000000000001,0.166,0.6168912348937352,0.24107990920262518
New York,Austin,40.6943,-73.9249,30.3005,-97.7522,flight,197,10710,1483.83,79,0,178.0596,green,1.9700000000000002,0.394,0.24795110432004444,0.7962639992701865
New York,Austin,40.6943,-73.9249,30.3005,-97.7522,road,79,22157,392.71,80,5,98.1775,gray,0.79,0.158,0.5129647636245774,0.21073898974504826
New York,Austin,40.6943,-73.9249,30.3005,-97.7522,rail,33,14274,626.34,81,5,31.317000000000004,blue,0.33,0.066,0.330462564245034,0.3361112750806283
New York,Orlando,40.6943,-73.9249,28.4773,-81.337,flight,156,17362,679.78,82,0,81.5736,green,1.56,0.312,0.4019539750891328,0.3647886492548927
New York,Orlando,40.6943,-73.9249,28.4773,-81.337,road,160,36428,196.97,83,3,49.2425,gray,1.6,0.32,0.8433578737787656,0.1056995207916329
New York,Orlando,40.6943,-73.9249,28.4773,-81.337,rail,34,14127,1215.4,84,2,60.77000000000001,blue,0.34,0.068,0.32705931379358244,0.652217076560647
New York,New Jersey,40.6943,-73.9249,40.2237,-74.7641,flight,211,7939,1231.56,85,0,147.78719999999998,green,2.11,0.422,0.1837986757420012,0.6608889771343017
New York,New Jersey,40.6943,-73.9249,40.2237,-74.7641,road,103,28518,408.24,86,4,102.06,gray,1.03,0.206,0.6602305875816086,0.21907281498693312
New York,New Jersey,40.6943,-73.9249,40.2237,-74.7641,rail,36,15132,764.29,87,3,38.2145,blue,0.36,0.072,0.35032643422697596,0.41013904018803427
New York,San Jose,40.6943,-73.9249,37.3012,-121.848,flight,159,11374,457.33,88,0,54.879599999999996,green,1.59,0.318,0.2633236097606149,0.24541585948945258
New York,San Jose,40.6943,-73.9249,37.3012,-121.848,road,105,20526,49.09,89,3,12.2725,gray,1.05,0.21,0.47520488956799556,0.026343044502519466
New York,San Jose,40.6943,-73.9249,37.3012,-121.848,rail,61,27118,902.23,90,5,45.11150000000001,blue,0.61,0.122,0.6278186785201648,0.4841614390203328
New York,Pittsburgh,40.6943,-73.9249,40.4397,-79.9763,flight,449,23257,1811.92,91,0,217.4304,green,4.49,0.898,0.5384312636014261,0.9723261192708306
New York,Pittsburgh,40.6943,-73.9249,40.4397,-79.9763,road,128,18733,722.03,92,1,180.5075,gray,1.28,0.256,0.4336944946057323,0.38746116158390975
New York,Pittsburgh,40.6943,-73.9249,40.4397,-79.9763,rail,89,20622,579.12,93,4,28.956000000000003,blue,0.8899999999999999,0.178,0.477427420475066,0.3107717240232038
New York,Indianapolis,40.6943,-73.9249,39.7771,-86.1458,flight,329,24145,1515.52,94,0,181.86239999999998,green,3.29,0.658,0.5589896744918276,0.8132697250857263
New York,Indianapolis,40.6943,-73.9249,39.7771,-86.1458,road,63,30120,104.39,95,5,26.0975,gray,0.63,0.126,0.6973190720933463,0.05601854584677138
New York,Indianapolis,40.6943,-73.9249,39.7771,-86.1458,rail,38,20673,146.64,96,2,7.332,blue,0.38,0.076,0.4786081400194471,0.07869105817578843
New York,Manhattan,40.6943,-73.9249,40.7834,-73.9662,flight,270,15160,380.28,97,0,45.633599999999994,green,2.7,0.54,0.35097467240820485,0.2040687097864759
New York,Manhattan,40.6943,-73.9249,40.7834,-73.9662,road,85,24253,603.35,98,2,150.8375,gray,0.8500000000000001,0.17,0.5614900217622818,0.32377420860857853
New York,Manhattan,40.6943,-73.9249,40.7834,-73.9662,rail,84,14626,1094.23,99,4,54.7115,blue,0.8400000000000001,0.168,0.3386118442376256,0.5871939210835583
New York,Cincinnati,40.6943,-73.9249,39.1413,-84.506,flight,173,12473,1243.98,100,0,149.2776,green,1.73,0.346,0.2887669583738482,0.6675538908177666
New York,Cincinnati,40.6943,-73.9249,39.1413,-84.506,road,190,27609,833.88,101,5,208.47,gray,1.9,0.38,0.6391859980552854,0.44748294866084604
New York,Cincinnati,40.6943,-73.9249,39.1413,-84.506,rail,70,11420,1091.75,102,1,54.587500000000006,blue,0.7000000000000001,0.14,0.2643885724869195,0.5858630848569083
New York,Kansas City,40.6943,-73.9249,39.1238,-94.5541,flight,160,13348,1351.48,103,0,162.17759999999998,green,1.6,0.32,0.3090244015372505,0.725241348222958
New York,Kansas City,40.6943,-73.9249,39.1238,-94.5541,road,59,38425,620.75,104,4,155.1875,gray,0.59,0.118,0.8895911469185535,0.3331115272955583
New York,Kansas City,40.6943,-73.9249,39.1238,-94.5541,rail,82,28620,1114.12,105,5,55.705999999999996,blue,0.8200000000000001,0.164,0.6625920266703709,0.5978674422722955
New York,Cleveland,40.6943,-73.9249,41.4764,-81.6805,flight,282,17478,542.46,106,0,65.0952,green,2.82,0.564,0.4046395332685095,0.2910989594792567
New York,Cleveland,40.6943,-73.9249,41.4764,-81.6805,road,81,41458,119.3,107,2,29.825,gray,0.81,0.162,0.9598092327638098,0.06401966203199373
New York,Cleveland,40.6943,-73.9249,41.4764,-81.6805,rail,60,14191,1229.07,108,5,61.4535,blue,0.6,0.12,0.3285410010649627,0.6595527746325442
New York,Columbus,40.6943,-73.9249,39.9862,-82.9855,flight,282,13629,431.85,109,0,51.822,green,2.82,0.564,0.3155299347131546,0.23174259051564539
New York,Columbus,40.6943,-73.9249,39.9862,-82.9855,road,54,28374,601.49,110,2,150.3725,gray,0.54,0.108,0.6568967912210029,0.32277608143859104
New York,Columbus,40.6943,-73.9249,39.9862,-82.9855,rail,56,25117,239.23,111,1,11.961500000000001,blue,0.56,0.112,0.5814927999259156,0.12837739939575743
New York,Bronx,40.6943,-73.9249,40.8501,-73.8662,flight,240,17699,1142.7,112,0,137.124,green,2.4,0.48,0.4097559846274946,0.6132042565294152
New York,Bronx,40.6943,-73.9249,40.8501,-73.8662,road,187,37964,194.49,113,3,48.6225,gray,1.87,0.374,0.8789183682918924,0.10436868456498291
New York,Bronx,40.6943,-73.9249,40.8501,-73.8662,rail,65,27616,953.18,114,4,47.659,blue,0.65,0.13,0.6393480576005927,0.5115026106928398
New York,Virginia Beach,40.6943,-73.9249,36.7335,-76.0435,flight,300,12457,1437.85,115,0,172.54199999999997,green,3.0,0.6,0.28839653655600317,0.7715898663260871
New York,Virginia Beach,40.6943,-73.9249,36.7335,-76.0435,road,174,17768,433.72,116,1,108.43,gray,1.7399999999999998,0.348,0.4113534287169514,0.23274608396074034
New York,Virginia Beach,40.6943,-73.9249,36.7335,-76.0435,rail,87,16208,200.08,117,3,10.004000000000001,blue,0.8699999999999999,0.174,0.375237301477057,0.10736843235005286
New York,Charlotte,40.6943,-73.9249,35.2083,-80.8303,flight,102,8696,920.25,118,0,110.42999999999999,green,1.02,0.204,0.20132425799879614,0.4938314667639751
New York,Charlotte,40.6943,-73.9249,35.2083,-80.8303,road,120,24688,839.47,119,1,209.8675,gray,1.2,0.24,0.5715608649349446,0.450482696445916
New York,Charlotte,40.6943,-73.9249,35.2083,-80.8303,rail,30,28712,658.65,120,2,32.9325,blue,0.3,0.06,0.66472195212298,0.3534497099528304
New York,Milwaukee,40.6943,-73.9249,43.0642,-87.9675,flight,287,17799,1053.85,121,0,126.46199999999999,green,2.8699999999999997,0.574,0.41207112098902626,0.5655249021996361
New York,Milwaukee,40.6943,-73.9249,43.0642,-87.9675,road,147,22011,607.08,122,5,151.77,gray,1.47,0.294,0.5095846645367412,0.325775829223661
New York,Milwaukee,40.6943,-73.9249,43.0642,-87.9675,rail,95,12672,1104.18,123,4,55.209,blue,0.95,0.19,0.29337407973329627,0.5925333648154807
New York,Providence,40.6943,-73.9249,41.823,-71.4187,flight,221,9253,263.46,124,0,31.615199999999998,green,2.21,0.442,0.21421956753252766,0.14137988398113216
New York,Providence,40.6943,-73.9249,41.823,-71.4187,road,158,14913,325.6,125,3,81.4,gray,1.58,0.316,0.34525628559522153,0.1747259174988865
New York,Providence,40.6943,-73.9249,41.823,-71.4187,rail,77,13025,1083.05,126,4,54.1525,blue,0.77,0.154,0.30154651108950314,0.5811944255134184
New York,Jacksonville,40.6943,-73.9249,30.3322,-81.6749,flight,154,16797,686.61,127,0,82.3932,green,1.54,0.308,0.38887345464647866,0.3684538151532877
New York,Jacksonville,40.6943,-73.9249,30.3322,-81.6749,road,65,40839,874.89,128,2,218.7225,gray,0.65,0.13,0.9454785386859286,0.4694900428765381
New York,Jacksonville,40.6943,-73.9249,30.3322,-81.6749,rail,87,16222,627.58,129,4,31.379000000000005,blue,0.8699999999999999,0.174,0.37556142056767144,0.3367766931939533
New York,Nashville,40.6943,-73.9249,36.1715,-86.7842,flight,123,12802,1100.45,130,0,132.054,green,1.23,0.246,0.2963837570032875,0.5905317442003982
New York,Nashville,40.6943,-73.9249,36.1715,-86.7842,road,56,25954,306.96,131,5,76.74,gray,0.56,0.112,0.6008704912719359,0.1647231806985817
New York,Nashville,40.6943,-73.9249,36.1715,-86.7842,rail,44,13960,224.31,132,3,11.2155,blue,0.43999999999999995,0.088,0.3231930360698245,0.12037091693542762
New York,Salt Lake City,40.6943,-73.9249,40.7776,-111.9311,flight,254,17176,938.89,133,0,112.6668,green,2.54,0.508,0.3976478214566838,0.5038342035642799
New York,Salt Lake City,40.6943,-73.9249,40.7776,-111.9311,road,63,41629,769.88,134,3,192.47,gray,0.63,0.126,0.9637681159420289,0.4131387879731042
New York,Salt Lake City,40.6943,-73.9249,40.7776,-111.9311,rail,70,24840,671.7,135,2,33.585,blue,0.7000000000000001,0.14,0.5750798722044729,0.3604526989680653
New York,Raleigh,40.6943,-73.9249,35.8324,-78.6429,flight,210,12776,710.85,136,0,85.30199999999999,green,2.1,0.42,0.2957818215492892,0.38146166601376985
New York,Raleigh,40.6943,-73.9249,35.8324,-78.6429,road,163,35559,589.06,137,3,147.265,gray,1.6300000000000001,0.326,0.8232393387970551,0.31610580148001866
New York,Raleigh,40.6943,-73.9249,35.8324,-78.6429,rail,54,13775,874.89,138,2,43.7445,blue,0.54,0.108,0.31891003380099087,0.4694900428765381
New York,Richmond,40.6943,-73.9249,37.5295,-77.4756,flight,124,10968,1051.98,139,0,126.2376,green,1.24,0.248,0.25392415613279623,0.5645214087545413
New York,Richmond,40.6943,-73.9249,37.5295,-77.4756,road,95,22188,861.84,140,4,215.46,gray,0.95,0.19,0.5136824558966523,0.4624870538613033
New York,Richmond,40.6943,-73.9249,37.5295,-77.4756,rail,85,21439,546.81,141,2,27.3405,blue,0.8500000000000001,0.17,0.4963420845487799,0.2934332891510016
New York,Memphis,40.6943,-73.9249,35.1087,-89.9663,flight,237,14192,418.8,142,0,50.256,green,2.37,0.474,0.32856415242857806,0.22473960150041053
New York,Memphis,40.6943,-73.9249,35.1087,-89.9663,road,60,24522,237.36,143,1,59.34,gray,0.6,0.12,0.567717738574802,0.12737390595066247
New York,Memphis,40.6943,-73.9249,35.1087,-89.9663,rail,31,23004,615.16,144,1,30.758,blue,0.31,0.062,0.532573968606751,0.33011177951048837
New York,Oklahoma City,40.6943,-73.9249,35.4676,-97.5136,flight,253,15910,303.23,145,0,36.3876,green,2.5300000000000002,0.506,0.36833819511969257,0.16272156008349925
New York,Oklahoma City,40.6943,-73.9249,35.4676,-97.5136,road,148,34123,649.33,146,4,162.3325,gray,1.48,0.296,0.78999398064546,0.34844834155267806
New York,Oklahoma City,40.6943,-73.9249,35.4676,-97.5136,rail,38,13888,354.18,147,3,17.709,blue,0.38,0.076,0.32152613788952167,0.19006273175600621
New York,Hartford,40.6943,-73.9249,41.7661,-72.6834,flight,245,14963,1380.06,148,0,165.60719999999998,green,2.45,0.49,0.3464138537759874,0.7405781624800777
New York,Hartford,40.6943,-73.9249,41.7661,-72.6834,road,182,36866,186.41,149,1,46.6025,gray,1.8199999999999998,0.364,0.8534981710422744,0.1000327342781555
New York,Hartford,40.6943,-73.9249,41.7661,-72.6834,rail,40,24133,712.09,150,4,35.6045,blue,0.4,0.08,0.5587118581284438,0.3821270841270949
New York,Louisville,40.6943,-73.9249,38.1663,-85.6485,flight,223,14803,510.77,151,0,61.292399999999994,green,2.23,0.446,0.3427096355975367,0.274093233663717
New York,Louisville,40.6943,-73.9249,38.1663,-85.6485,road,59,40495,374.07,152,1,93.5175,gray,0.59,0.118,0.9375144696022596,0.20073625294474345
New York,Louisville,40.6943,-73.9249,38.1663,-85.6485,rail,47,13902,640.01,153,4,32.0005,blue,0.47,0.094,0.32185025698013614,0.34344697315252565
New York,Buffalo,40.6943,-73.9249,42.9018,-78.8487,flight,179,17990,1074.97,154,0,128.9964,green,1.79,0.358,0.4164930314395518,0.576858475226591
New York,Buffalo,40.6943,-73.9249,42.9018,-78.8487,road,148,39447,38.53,155,2,9.6325,gray,1.48,0.296,0.9132518405334075,0.020676257989042067
New York,Buffalo,40.6943,-73.9249,42.9018,-78.8487,rail,32,25728,669.84,156,4,33.492000000000004,blue,0.32,0.064,0.5956382830948743,0.3594545717980778
New York,New Orleans,40.6943,-73.9249,30.0687,-89.9288,flight,203,7834,642.5,157,0,77.1,green,2.0300000000000002,0.406,0.18136778256239292,0.34478317565428307
New York,New Orleans,40.6943,-73.9249,30.0687,-89.9288,road,60,17383,654.93,158,1,163.7325,gray,0.6,0.12,0.40244015372505443,0.3514534556128554
New York,New Orleans,40.6943,-73.9249,30.0687,-89.9288,rail,36,25714,395.81,159,5,19.7905,blue,0.36,0.072,0.5953141640042598,0.21240253502836076
New York,Fort Worth,40.6943,-73.9249,32.7817,-97.3474,flight,229,17728,881.73,160,0,105.8076,green,2.29,0.458,0.41042737417233877,0.4731605750500405
New York,Fort Worth,40.6943,-73.9249,32.7817,-97.3474,road,162,36368,574.15,161,2,143.5375,gray,1.62,0.324,0.8419687919618466,0.3081046852947963
New York,Fort Worth,40.6943,-73.9249,32.7817,-97.3474,rail,49,26992,680.4,162,3,34.02,blue,0.49,0.098,0.6249016067046349,0.3651213583115552
New York,Bridgeport,40.6943,-73.9249,41.1918,-73.1954,flight,149,9921,1234.04,163,0,148.0848,green,1.49,0.298,0.22968467842755938,0.6622198133609517
New York,Bridgeport,40.6943,-73.9249,41.1918,-73.1954,road,103,37574,362.88,164,5,90.72,gray,1.03,0.206,0.8698893364819188,0.1947313910994961
New York,Bridgeport,40.6943,-73.9249,41.1918,-73.1954,rail,65,28574,996.06,165,4,49.803,blue,0.65,0.13,0.6615270639440664,0.5345131983536268
New York,Tucson,40.6943,-73.9249,32.1541,-110.8787,flight,291,13819,728.87,166,0,87.4644,green,2.9099999999999997,0.582,0.31992869380006483,0.3911316937574122
New York,Tucson,40.6943,-73.9249,32.1541,-110.8787,road,99,40526,754.34,167,1,188.585,gray,0.99,0.198,0.9382321618743344,0.4047995964561119
New York,Tucson,40.6943,-73.9249,32.1541,-110.8787,rail,84,22359,705.26,168,5,35.263,blue,0.8400000000000001,0.168,0.5176413390748715,0.3784619182286999
New York,El Paso,40.6943,-73.9249,31.8476,-106.43,flight,300,17167,844.44,169,0,101.3328,green,3.0,0.6,0.39743945918414597,0.4531497351743235
